source,line,static_link_pattern
client/src/components/admin/Customer360ProfileV2.jsx,1014,/admin/contracts/${…}/cancel
client/src/components/admin/Customer360ProfileV2.jsx,1045,/admin/contracts/${…}/renewal-notice
client/src/components/admin/Customer360ProfileV2.jsx,1076,/admin/contracts/${…}/remind
client/src/components/admin/Customer360ProfileV2.jsx,1077,/admin/contracts/${…}/send-${…}
client/src/components/admin/Customer360ProfileV2.jsx,1115,/admin/document-templates/${…}/contracts
client/src/components/admin/Customer360ProfileV2.jsx,1156,/admin/contracts/${…}/events
client/src/components/admin/Customer360ProfileV2.jsx,2569,/admin/dispatch/customers/${…}/property-map
client/src/components/admin/Customer360ProfileV2.jsx,2691,/admin/dispatch/customers/${…}/property-zones
client/src/components/admin/Customer360ProfileV2.jsx,2921,/admin/dispatch/customers/${…}/property-map
client/src/components/admin/Customer360ProfileV2.jsx,3055,/admin/dispatch/customers/${…}/termite-stations
client/src/components/admin/Customer360ProfileV2.jsx,3203,${…}/admin/customers/${…}
client/src/components/admin/Customer360ProfileV2.jsx,3286,${…}/admin/customers/${…}/autopay-state
client/src/components/admin/Customer360ProfileV2.jsx,3312,/admin/customers/${…}/charge-now
client/src/components/admin/Customer360ProfileV2.jsx,3456,/admin/customers/${…}/credits
client/src/components/admin/Customer360ProfileV2.jsx,3496,/admin/customers/${…}/credits
client/src/components/admin/Customer360ProfileV2.jsx,3765,/admin/services/dropdown
client/src/components/admin/Customer360ProfileV2.jsx,3990,/admin/customers/${…}/annual-prepay
client/src/components/admin/Customer360ProfileV2.jsx,4024,/admin/customers/${…}/annual-prepay
client/src/components/admin/Customer360ProfileV2.jsx,4280,/admin/customers/${…}/deposit-credit
client/src/components/admin/Customer360ProfileV2.jsx,4378,/admin/customers/${…}/annual-prepay-invoice
client/src/components/admin/Customer360ProfileV2.jsx,4391,/admin/customers/${…}/annual-prepay-invoice
client/src/components/admin/Customer360ProfileV2.jsx,4713,/admin/customers/${…}/cancel-signup
client/src/components/admin/Customer360ProfileV2.jsx,4723,/admin/customers/${…}/cancel-signup
client/src/components/admin/Customer360ProfileV2.jsx,4959,/admin/customers/${…}/refund
client/src/components/admin/Customer360ProfileV2.jsx,5201,/admin/customers/${…}
client/src/components/admin/Customer360ProfileV2.jsx,5211,/admin/payers
client/src/components/admin/Customer360ProfileV2.jsx,5259,/admin/customers/${…}/resume-service
client/src/components/admin/Customer360ProfileV2.jsx,5300,/admin/customers/${…}
client/src/components/admin/Customer360ProfileV2.jsx,5340,/admin/payers
client/src/components/admin/Customer360ProfileV2.jsx,5403,/admin/customers/${…}
client/src/components/admin/Customer360ProfileV2.jsx,5404,/admin/customers/${…}/timeline
client/src/components/admin/Customer360ProfileV2.jsx,5434,/admin/customers/${…}/timeline
client/src/components/admin/Customer360ProfileV2.jsx,5454,/admin/customers/${…}/comms
client/src/components/admin/Customer360ProfileV2.jsx,5654,/admin/customers/${…}/notification-prefs
client/src/components/admin/Customer360ProfileV2.jsx,5691,/admin/customers/${…}/notification-prefs
client/src/components/admin/Customer360ProfileV2.jsx,5856,/admin/communications/sms
client/src/components/admin/Customer360ProfileV2.jsx,5867,/admin/customers/${…}
client/src/components/admin/Customer360ProfileV2.jsx,5868,/admin/customers/${…}/comms
client/src/components/admin/Customer360ProfileV2.jsx,6076,/admin/communications?phone=${…}&action=sms
client/src/components/admin/Customer360ProfileV2.jsx,6096,/admin/schedule?customer=${…}
client/src/components/admin/Customer360ProfileV2.jsx,6102,/admin/invoices?customer=${…}
client/src/components/admin/Customer360ProfileV2.jsx,6333,/admin/customers?customerId=${…}
client/src/components/admin/Customer360ProfileV2.jsx,6392,/admin/customers?customerId=${…}
client/src/components/admin/Customer360ProfileV2.jsx,6452,/admin/customers/${…}
client/src/components/admin/Customer360ProfileV2.jsx,8083,/admin/communications?phone=${…}&action=sms
client/src/components/admin/Customer360ProfileV2.jsx,8375,/admin/customers/${…}
client/src/components/admin/Customer360ProfileV2.jsx,8417,/admin/customers/${…}
client/src/components/admin/CustomerPropertiesPanelV2.jsx,78,/admin/customers/${…}/properties
client/src/components/admin/CustomerPropertiesPanelV2.jsx,110,/admin/customers/${…}/properties
client/src/components/admin/CustomerPropertiesPanelV2.jsx,148,/admin/customers/${…}/properties/${…}
client/src/components/admin/CustomerRequestsPanel.jsx,50,/admin/requests?customerId=${…}&openOnly=true&limit=50
client/src/components/admin/CustomerRequestsPanel.jsx,80,/admin/requests/${…}
client/src/components/admin/EstimateModalsV2.jsx,19,../../pages/admin/EstimatePage
client/src/components/admin/EstimateModalsV2.jsx,52,/admin/estimates/${…}/follow-up
client/src/components/admin/EstimateModalsV2.jsx,118,/admin/estimates/${…}
client/src/components/admin/EstimateModalsV2.jsx,264,/admin/estimates/${…}/extend
client/src/components/admin/ExpenseCapture.jsx,80,/admin/job-expenses/receipt-upload
